caso_id,nivel,proceso,etapa,expediente,tipo_medio,organo_resolutor,sala,fecha_sentencia,parte_actora,tipo_actor,autoridad_responsable,sentido,efectos_resumen,url_sentencia,ruta_local,revision_humana,confianza_global,partido_principal,conducta_principal,persona_candidata,consecuencia_no_economica,gravedad_textual,acto_origen_resumen,monto_final_estado
DEMO-FED-001,Federal,PEF 2023-2024,campana,DEMO-FED-001,RAP,Sala Superior,Sala Superior,2024-07-10,Partido Alfa,partido,INE,confirma,Confirma sancion economica,https://example.invalid/demo-fed-001,documents/federal/demo-fed-001.pdf,si,demo,Partido Alfa,egreso no reportado,Candidatura Demo 1,,No calificada expresamente,Resolucion administrativa demo,firme
DEMO-FED-002,Federal,PEF 2023-2024,precampana,DEMO-FED-002,RAP,Sala Regional Ciudad de Mexico,SRCDMX,2024-06-18,Partido Beta,partido,INE,modifica,Ordena recalcular monto,https://example.invalid/demo-fed-002,documents/federal/demo-fed-002.pdf,si,demo,Partido Beta,eventos no reportados,,,Resolucion administrativa demo,pendiente
DEMO-FED-003,Federal,PEF 2023-2024,campana,DEMO-FED-003,RAP,Sala Superior,Sala Superior,2024-08-02,Candidatura Demo 3,candidatura,INE,revoca para efectos,Revoca para emitir nueva individualizacion,https://example.invalid/demo-fed-003,documents/federal/demo-fed-003.pdf,si,demo,Partido Gamma,aportacion prohibida,Candidatura Demo 3,Aviso a autoridad competente,Grave ordinaria textual demo,Resolucion administrativa demo,pendiente
DEMO-FED-004,Federal,PEF 2023-2024,intercampana,DEMO-FED-004,REC,Sala Superior,Sala Superior,2024-09-12,Partido Alfa,partido,INE,desecha,Desecha por improcedencia,https://example.invalid/demo-fed-004,documents/federal/demo-fed-004.pdf,si,demo,Partido Alfa,registro extemporaneo,,,Dictamen consolidado demo,no aplica
DEMO-FED-005,Federal,PEF 2023-2024,campana,DEMO-FED-005,RAP,Sala Regional Toluca,SRToluca,2024-07-25,Partido Delta,partido,INE,confirma parcialmente,Confirma una conclusion y modifica otra,https://example.invalid/demo-fed-005,documents/federal/demo-fed-005.pdf,si,demo,Partido Delta,propaganda no reportada,,,Resolucion administrativa demo,firme
DEMO-FED-006,Federal,PEF 2023-2024,campana,DEMO-FED-006,RAP,Sala Regional Monterrey,SRMonterrey,2024-08-19,Partido Beta,partido,INE,revoca,Deja sin efectos sancion demo,https://example.invalid/demo-fed-006,documents/federal/demo-fed-006.pdf,si,demo,Partido Beta,falta de documentacion,,,Resolucion administrativa demo,desconocido
DEMO-CDMX-001,CDMX,PEL CDMX 2023-2024,campana,DEMO-CDMX-001,JEL,TECDMX,Pleno,2024-06-29,Partido Alfa,partido,IECM,confirma,Confirma determinacion local demo,https://example.invalid/demo-cdmx-001,documents/cdmx/demo-cdmx-001.pdf,si,demo,Partido Alfa,gasto no comprobado,Candidatura Demo Local 1,,No calificada expresamente,Procedimiento local demo,firme
DEMO-CDMX-002,CDMX,PEL CDMX 2023-2024,precampana,DEMO-CDMX-002,JEL,TECDMX,Pleno,2024-07-04,Partido Gamma,partido,IECM,modifica,Modifica efectos locales demo,https://example.invalid/demo-cdmx-002,documents/cdmx/demo-cdmx-002.pdf,si,demo,Partido Gamma,ingreso no reportado,,,Procedimiento local demo,pendiente
DEMO-CDMX-003,CDMX,PEL CDMX 2023-2024,campana,DEMO-CDMX-003,PES,TECDMX,Pleno,2024-08-11,Candidatura Demo Local 3,candidatura,IECM,revoca,Revoca resolucion local demo,https://example.invalid/demo-cdmx-003,documents/cdmx/demo-cdmx-003.pdf,si,demo,Partido Delta,omision de deslinde,Candidatura Demo Local 3,Amonestacion sin efectos,No calificada expresamente,Procedimiento sancionador demo,desconocido
DEMO-CDMX-004,CDMX,PEL CDMX 2023-2024,campana,DEMO-CDMX-004,JEL,TECDMX,Pleno,2024-08-28,Partido Beta,partido,IECM,sobresee,Termina sin estudio de fondo demo,https://example.invalid/demo-cdmx-004,documents/cdmx/demo-cdmx-004.pdf,si,demo,Partido Beta,evento no reportado,,,Procedimiento local demo,no aplica
DEMO-CDMX-005,CDMX,PEL CDMX 2023-2024,campana,DEMO-CDMX-005,JEL,TECDMX,Pleno,2024-09-03,Partido Alfa,partido,IECM,revoca para efectos,Ordena emitir nueva determinacion demo,https://example.invalid/demo-cdmx-005,documents/cdmx/demo-cdmx-005.pdf,si,demo,Partido Alfa,rebase de tope,Candidatura Demo Local 5,Revision de efectos sobre registro,Grave especial textual demo,Procedimiento local demo,pendiente
DEMO-CDMX-006,CDMX,PEL CDMX 2023-2024,intercampana,DEMO-CDMX-006,JEL,TECDMX,Pleno,2024-09-21,Partido Gamma,partido,IECM,confirma,Confirma inexistencia de infraccion demo,https://example.invalid/demo-cdmx-006,documents/cdmx/demo-cdmx-006.pdf,si,demo,Partido Gamma,otra,,,Procedimiento local demo,no aplica

